DateTime,storyindex,Depth,Length,Framedepth,Dir,Attrib,Sort,Graphic,Image,speed,calclength,Direction,sortname,calspeed,framepos
2025-09-09 6:48,22,145,439,46,TRUE,186,11,,,,87,Up,Chinook,0.43,25
2025-09-09 6:48,22,137,294,74,TRUE,187,11,,,,82,Up,Chinook,0.29,11
2025-09-09 6:48,22,172,276,53,FALSE,188,11,,,,103,Down,Chinook,0.27,22
2025-09-09 6:48,22,152,365,70,TRUE,189,11,,,,91,Up,Chinook,0.36,13
2025-09-09 6:48,0,172,0,0,FALSE,0,11,,,,103,Down,Chinook,0,49
2025-09-09 6:49,22,137,289,73,TRUE,190,11,,,,82,Up,Chinook,0.28,11
2025-09-09 6:49,0,137,0,0,TRUE,0,11,,,,82,Up,Chinook,0,49
2025-09-09 7:00,22,122,264,68,TRUE,191,11,,,,73,Up,Chinook,0.26,14
2025-09-09 7:01,22,135,714,55,TRUE,192,11,,,,81,Up,Chinook,0.71,21
2025-09-09 7:03,22,135,173,66,FALSE,193,11,,,,81,Down,Chinook,0.17,15
2025-09-09 7:03,22,125,367,81,TRUE,194,11,,,,75,Up,Chinook,0.36,7
2025-09-09 7:03,0,135,0,0,TRUE,0,11,,,,81,Up,Chinook,0,49
2025-09-09 7:06,22,87,515,18,FALSE,195,2,,,,52,Down,Not Fish,0.51,39
2025-09-09 7:15,22,135,439,77,TRUE,196,11,,,,81,Up,Chinook,0.43,9
2025-09-09 7:23,22,135,97,62,FALSE,197,11,,??,,81,Down,Chinook,0.09,17
2025-09-09 7:23,0,135,0,0,TRUE,0,11,,,,81,Up,Chinook,0,49
2025-09-09 7:32,22,112,735,66,TRUE,198,11,,,,67,Up,Chinook,0.73,15
2025-09-09 7:37,22,127,149,72,TRUE,199,11,,,,76,Up,Chinook,0.14,12
2025-09-09 7:43,22,195,243,61,TRUE,200,11,,,,117,Up,Chinook,0.24,18
2025-09-09 7:44,22,190,467,65,TRUE,201,11,,,,114,Up,Chinook,0.46,15
2025-09-09 7:52,22,197,358,59,TRUE,202,11,,,,118,Up,Chinook,0.35,19
2025-09-09 7:52,22,190,160,72,TRUE,203,11,,{p,,114,Up,Chinook,0.16,12
2025-09-09 8:09,22,110,218,81,TRUE,204,11,,W¢,,66,Up,Chinook,0.21,7
2025-09-09 8:10,22,105,136,85,FALSE,205,11,,?%®,,63,Down,Chinook,0.13,5
2025-09-09 8:11,22,115,238,67,TRUE,206,11,,,,69,Up,Chinook,0.23,14
2025-09-09 8:17,22,197,199,72,TRUE,207,11,,,,118,Up,Chinook,0.19,12
2025-09-09 8:20,22,187,93,70,TRUE,208,11,,{-K,,112,Up,Chinook,0.09,13
2025-09-09 8:23,22,202,389,57,TRUE,209,11,,,,121,Up,Chinook,0.38,20
2025-09-09 8:23,0,202,0,0,FALSE,0,11,,,,121,Down,Chinook,0,49
2025-09-09 8:24,22,162,383,63,TRUE,210,11,,,,97,Up,Chinook,0.38,16
2025-09-09 9:02,22,192,408,36,TRUE,211,11,,,,115,Up,Chinook,0.4,30
2025-09-09 9:16,22,180,43,65,TRUE,212,11,,,,108,Up,Chinook,0.04,15
2025-09-09 9:24,22,180,107,60,TRUE,213,11,,,,108,Up,Chinook,0.1,18
2025-09-09 9:24,0,180,0,0,FALSE,0,11,,,,108,Down,Chinook,0,49
2025-09-09 9:31,22,170,933,48,TRUE,214,11,,,,102,Up,Chinook,0.93,24
2025-09-09 9:31,0,170,0,0,TRUE,0,11,,,,102,Up,Chinook,0,49
2025-09-09 9:31,0,170,0,0,FALSE,0,11,,,,102,Down,Chinook,0,49
2025-09-09 9:32,22,207,275,68,TRUE,215,11,,,,124,Up,Chinook,0.27,14
2025-09-09 9:33,22,195,46,78,TRUE,216,11,,,,117,Up,Chinook,0.04,9
2025-09-09 9:33,22,152,186,69,TRUE,217,11,,,,91,Up,Chinook,0.18,13
2025-09-09 9:33,0,152,0,0,TRUE,0,11,,,,91,Up,Chinook,0,49
2025-09-09 9:43,22,205,240,68,TRUE,218,11,,,,123,Up,Chinook,0.24,14
2025-09-09 10:00,22,217,232,65,TRUE,219,11,,,,130,Up,Chinook,0.23,15
2025-09-09 10:03,22,215,140,66,TRUE,220,11,,F,,129,Up,Chinook,0.14,15
2025-09-09 10:03,22,157,272,67,TRUE,221,11,,,,94,Up,Chinook,0.27,14
2025-09-09 10:03,0,215,0,0,TRUE,0,11,,,,129,Up,Chinook,0,49
2025-09-09 10:06,22,137,928,71,TRUE,222,11,,,,82,Up,Chinook,0.92,12
2025-09-09 10:09,22,180,627,56,TRUE,223,11,,,,108,Up,Chinook,0.62,20
2025-09-09 10:11,22,165,654,67,TRUE,224,11,,,,99,Up,Chinook,0.65,14
2025-09-09 10:17,22,185,380,76,TRUE,225,11,,,,111,Up,Chinook,0.38,10
2025-09-09 10:19,22,150,171,75,TRUE,226,11,,,,90,Up,Chinook,0.17,10
2025-09-09 10:20,22,170,346,61,TRUE,227,11,,,,102,Up,Chinook,0.34,18
2025-09-09 10:26,22,202,351,61,TRUE,228,11,,,,121,Up,Chinook,0.35,18
2025-09-09 10:29,22,152,155,76,TRUE,229,11,,,,91,Up,Chinook,0.15,10
2025-09-09 10:29,22,197,523,63,TRUE,230,11,,,,118,Up,Chinook,0.52,16
2025-09-09 10:37,22,195,271,56,TRUE,231,11,,,,117,Up,Chinook,0.27,20
2025-09-09 10:47,22,205,333,70,TRUE,232,11,,,,123,Up,Chinook,0.33,13
2025-09-09 10:48,22,165,523,60,TRUE,233,11,,,,99,Up,Chinook,0.52,18
2025-09-09 10:50,22,175,224,53,TRUE,234,11,,,,105,Up,Chinook,0.22,22
2025-09-09 10:54,22,225,223,65,TRUE,235,11,,,,135,Up,Chinook,0.22,15
2025-09-09 10:57,22,182,714,64,TRUE,236,11,,,,109,Up,Chinook,0.71,16
2025-09-09 10:59,22,205,182,73,TRUE,237,11,,,,123,Up,Chinook,0.18,11
2025-09-09 11:03,22,182,209,66,TRUE,238,11,,,,109,Up,Chinook,0.2,15
2025-09-09 11:04,22,215,199,60,TRUE,239,11,,?,,129,Up,Chinook,0.19,18
2025-09-09 11:04,0,215,0,0,FALSE,0,11,,,,129,Down,Chinook,0,49
2025-09-09 11:05,22,225,273,69,TRUE,240,11,,,,135,Up,Chinook,0.27,13
2025-09-09 11:10,22,185,234,66,TRUE,241,11,,,,111,Up,Chinook,0.23,15
2025-09-09 11:10,22,177,428,68,TRUE,242,11,,,,106,Up,Chinook,0.42,14
2025-09-09 11:16,22,225,195,62,TRUE,243,11,,,,135,Up,Chinook,0.19,17
2025-09-09 11:17,22,162,130,75,TRUE,244,11,,,,97,Up,Chinook,0.13,10
2025-09-09 11:19,22,200,364,75,TRUE,245,11,,,,120,Up,Chinook,0.36,10
2025-09-09 11:19,22,107,36,54,TRUE,246,11,,,,64,Up,Chinook,0.03,21
2025-09-09 11:30,22,207,406,61,TRUE,247,11,,,,124,Up,Chinook,0.4,18
2025-09-09 11:31,22,172,146,73,TRUE,248,11,,,,103,Up,Chinook,0.14,11
2025-09-09 11:31,22,175,211,68,TRUE,249,11,,,,105,Up,Chinook,0.21,14
2025-09-09 11:31,0,175,0,0,TRUE,0,11,,,,105,Up,Chinook,0,49
2025-09-09 11:36,22,195,297,35,TRUE,250,11,,,,117,Up,Chinook,0.29,31
2025-09-09 11:40,22,135,555,77,TRUE,251,11,,,,81,Up,Chinook,0.55,9
2025-09-09 11:47,22,205,200,71,TRUE,252,11,,,,123,Up,Chinook,0.2,12
2025-09-09 11:49,22,165,340,71,TRUE,253,11,,,,99,Up,Chinook,0.34,12
2025-09-09 12:08,22,195,95,76,TRUE,254,11,,uY≠,,117,Up,Chinook,0.09,10
2025-09-09 12:22,22,190,216,55,TRUE,255,11,,,,114,Up,Chinook,0.21,21
2025-09-09 12:36,22,182,141,71,TRUE,256,2,,,,109,Up,Not Fish,0.14,12
2025-09-09 12:36,22,47,-2637,5,TRUE,257,11,,,,28,Up,Chinook,-2.63,46
2025-09-09 12:37,22,220,177,64,TRUE,258,11,,,,132,Up,Chinook,0.17,16
2025-09-09 12:41,22,55,475,27,TRUE,259,2,,,,33,Up,Not Fish,0.47,35
2025-09-09 12:42,22,190,252,58,TRUE,260,11,,,,114,Up,Chinook,0.25,19
2025-09-09 12:43,22,227,134,61,TRUE,261,11,,,,136,Up,Chinook,0.13,18
2025-09-09 12:46,22,222,129,66,TRUE,262,11,,,,133,Up,Chinook,0.12,15
2025-09-09 13:02,22,162,179,69,TRUE,263,11,,,,97,Up,Chinook,0.17,13
2025-09-09 13:17,22,177,295,72,TRUE,264,11,,,,106,Up,Chinook,0.29,12
2025-09-09 13:20,22,162,1142,67,TRUE,265,11,,,,97,Up,Chinook,1.14,14
2025-09-09 13:29,22,140,207,68,TRUE,266,15,,,,84,Up,Coho,0.2,14
2025-09-09 13:49,22,165,270,42,TRUE,267,11,,,,99,Up,Chinook,0.27,27
2025-09-09 13:51,22,172,211,71,TRUE,268,11,,,,103,Up,Chinook,0.21,12
2025-09-09 14:00,22,185,282,74,TRUE,269,11,,,,111,Up,Chinook,0.28,11
2025-09-09 14:01,22,145,1285,79,TRUE,270,11,,,,87,Up,Chinook,1.28,8
2025-09-09 14:13,22,180,264,70,TRUE,271,11,,,,108,Up,Chinook,0.26,13
2025-09-09 14:22,22,197,494,56,TRUE,272,11,,,,118,Up,Chinook,0.49,20
2025-09-09 14:24,22,175,190,75,TRUE,273,11,,,,105,Up,Chinook,0.19,10
2025-09-09 14:26,22,180,328,71,TRUE,274,11,,,,108,Up,Chinook,0.32,12
2025-09-09 14:27,22,200,212,69,TRUE,275,11,,,,120,Up,Chinook,0.21,13
2025-09-09 14:32,22,200,426,69,TRUE,276,11,,,,120,Up,Chinook,0.42,13
2025-09-09 14:34,22,200,714,71,TRUE,277,11,,,,120,Up,Chinook,0.71,12
2025-09-09 14:40,22,50,545,47,TRUE,278,11,,,,30,Up,Chinook,0.54,25
2025-09-09 14:45,22,157,1071,72,TRUE,279,11,,,,94,Up,Chinook,1.07,12
2025-09-09 14:47,22,190,130,73,TRUE,280,11,,,,114,Up,Chinook,0.13,11
